,Subrub_Name,Latitude,Longitude
164,Kensington,-33.911221,151.219501
165,Nanga Brook,-23.992438,134.050443
166,Marracoonda,-33.65,117.41667
167,Muntadgin,-31.75,118.56667
168,Condingup,-33.76407,122.48444
169,Busselton,-33.655377,115.350089
170,Neerabup,-31.705335,115.758756
171,Collingwood Heights,-34.992784,117.920798
172,Karrinyup,-31.872359,115.776542
173,Collingwood Park,-27.621869,152.856145
174,Kununoppin,-31.11174,117.91793
175,Kojarena,-28.72237,114.8656
176,Cowalellup,-23.992438,134.050443
177,Bolgart,-31.26667,116.5
178,Wicherina South,-28.71778,115.0144
179,Leederville,-31.932022,115.841834
180,Queens Park,-32.003661,115.944763
181,Beedelup,-23.992438,134.050443
182,Samson,-32.069853,115.797816
183,Murdong,-33.75771,117.5995
184,North Beach,43.889928,-124.099983
185,Mcbeath,-23.992438,134.050443
186,East Augusta,-23.992438,134.050443
187,Tom Price,-22.686291,117.794204
188,Paradise,36.092329,-115.123309
189,East Lyons River,-38.01667,141.46667
190,Coondle,-31.48333,116.43333
191,Lamington,-28.23333,153.0
192,Carrolup,-33.74348,117.39987
193,Westwood,42.302015,-85.645312
194,Bobalong,-23.992438,134.050443
195,Little Italy,41.867879,-87.664981
196,San Remo,40.895113,-73.223817
197,Wanarn,-23.992438,134.050443
198,Atwell,-32.143585,115.865984
199,Carrabin,-31.39363,118.67186
200,Balcatta,-31.867389,115.819136
201,Karragullen,-32.1,116.13333
202,Mitchell Plateau,-23.992438,134.050443
203,Bibra Lake,-32.09838,115.828945
204,North Walpole,-23.992438,134.050443
205,Deanmill,-34.25,116.08333
206,Willetton,-32.052548,115.888617
207,Innawanga,52.374687,8.996665
208,Binningup,-33.158366,115.691025
209,Koondoola,-31.840426,115.866316
210,Redmond West,47.688678,-122.115347
211,Beacon,-33.7528,151.25857
212,Canning Vale,-32.0816,115.918055
213,Binduli,-23.992438,134.050443
214,Minilya,-23.75081,114.014793
215,Karratha,-20.734043,116.844766
216,Piawaning,-30.85,116.36667
217,Fitzgerald River National Park,-33.912999,119.66614
218,Valentine,-33.015115,151.63991
219,Upper Murray,-23.992438,134.050443
220,Dalwallinu,-30.277564,116.659497
221,Brookton,-23.992438,134.050443
222,Bullock Hills,-23.992438,134.050443
223,Hamersley Range,-23.992438,134.050443
224,South Guildford,-31.979391,115.805544
225,West Pingelly,-32.531841,117.085277
226,Mariginiup,-31.709114,115.842448
227,Yoting,-31.96017,117.59142
228,Doubleview,-31.896202,115.781467
229,Stirling,-31.885319,115.810799
230,Leeming,-32.073754,115.865151
231,Claremont,-31.980669,115.782466
232,Chittering,-31.46766,116.0801
233,Mingenew,-29.195687,115.447144
234,Forrestdale,-23.992438,134.050443
235,Kulin,-32.669988,118.161891
236,Stratham,-33.46324,115.5862
237,Kirk Rock,-23.992438,134.050443
238,Point Grey,-38.678809,143.836784
239,Mount Pleasant,32.904764,-79.789035
240,Quelagetting,-23.992438,134.050443
241,Warburton,-32.4068,149.3596
242,Glen Iris,-37.857269,145.06516
243,Widgiemooltha,-31.49593,121.5787
244,Gap Ridge,-23.992438,134.050443
245,Yandanooka,-29.31667,115.55
246,Spencer Park,-35.003941,117.902019
247,Landsdale,-31.807407,115.864383
248,Munster,-32.13752,115.77691
249,Lort River,-23.992438,134.050443
250,Trayning,-31.11667,117.8
251,Bejoording,-31.4,116.5
252,Middlesex,-41.556747,146.008644
253,Catterick,-33.835781,116.144387
254,Mount Hardman,-18.237981,125.047335
255,Badgingarra,-30.319923,115.05129
256,Murdoch,-23.992438,134.050443
257,Marchagee,-30.05,116.06667
258,Kaloorup,-23.992438,134.050443
259,Edgewater,-23.992438,134.050443
260,Mount Wells,-23.992438,134.050443
261,Gelorup,-33.427929,115.640826
262,Hindmarsh,-36.108871,141.74312
263,Lake Biddy,-33.00194,118.9292
264,Watheroo,-30.28333,116.06667
265,Wamenusking,-32.12583,117.5997
266,Carey Park,-33.354925,115.651805
267,Chadwick,-23.992438,134.050443
268,Bentley,-32.009145,115.913658
269,Cardiff,-32.937257,151.664053
270,Abrolhos Islands,52.038912,13.748665
271,Caversham,-31.875848,115.974037
